Subject,Predicate,Object
nintendo switch,HAS_ISSUE,data loss
Ticket_11,HAS_PRIORITY,high
Ticket_11,SUBMITTED_VIA,phone
Ticket_11,HAS_STATUS,closed
Ticket_11,IS_TYPE,cancellation request
nintendo switch,RAISED,Ticket_11
microsoft xbox controller,HAS_ISSUE,software bug
Ticket_12,HAS_PRIORITY,high
Ticket_12,SUBMITTED_VIA,chat
Ticket_12,HAS_STATUS,closed
Ticket_12,IS_TYPE,product inquiry
microsoft xbox controller,RAISED,Ticket_12
nintendo switch pro controller,HAS_ISSUE,hardware issue
Ticket_13,HAS_PRIORITY,low
Ticket_13,SUBMITTED_VIA,chat
Ticket_13,HAS_STATUS,pending customer response
Ticket_13,IS_TYPE,technical issue
nintendo switch pro controller,RAISED,Ticket_13
nest thermostat,HAS_ISSUE,product setup
Ticket_14,HAS_PRIORITY,low
Ticket_14,SUBMITTED_VIA,chat
Ticket_14,HAS_STATUS,pending customer response
Ticket_14,IS_TYPE,technical issue
nest thermostat,RAISED,Ticket_14
sony playstation,HAS_ISSUE,product setup
Ticket_15,HAS_PRIORITY,high
Ticket_15,SUBMITTED_VIA,chat
Ticket_15,HAS_STATUS,closed
Ticket_15,IS_TYPE,billing inquiry
sony playstation,RAISED,Ticket_15
gopro action camera,HAS_ISSUE,product recommendation
Ticket_16,HAS_PRIORITY,high
Ticket_16,SUBMITTED_VIA,social media
Ticket_16,HAS_STATUS,pending customer response
Ticket_16,IS_TYPE,billing inquiry
gopro action camera,RAISED,Ticket_16
xbox,HAS_ISSUE,account access
Ticket_17,HAS_PRIORITY,critical
Ticket_17,SUBMITTED_VIA,chat
Ticket_17,HAS_STATUS,closed
Ticket_17,IS_TYPE,product inquiry
xbox,RAISED,Ticket_17
microsoft xbox controller,HAS_ISSUE,payment issue
Ticket_18,HAS_PRIORITY,high
Ticket_18,SUBMITTED_VIA,chat
Ticket_18,HAS_STATUS,pending customer response
Ticket_18,IS_TYPE,product inquiry
microsoft xbox controller,RAISED,Ticket_18
lg washing machine,HAS_ISSUE,peripheral compatibility
Ticket_19,HAS_PRIORITY,high
Ticket_19,SUBMITTED_VIA,social media
Ticket_19,HAS_STATUS,open
Ticket_19,IS_TYPE,product inquiry
lg washing machine,RAISED,Ticket_19
canon eos,HAS_ISSUE,software bug
Ticket_20,HAS_PRIORITY,low
Ticket_20,SUBMITTED_VIA,chat
Ticket_20,HAS_STATUS,closed
Ticket_20,IS_TYPE,refund request
canon eos,RAISED,Ticket_20
hp pavilion,HAS_ISSUE,payment issue
Ticket_21,HAS_PRIORITY,high
Ticket_21,SUBMITTED_VIA,chat
Ticket_21,HAS_STATUS,pending customer response
Ticket_21,IS_TYPE,refund request
hp pavilion,RAISED,Ticket_21
Ticket_22,HAS_PRIORITY,critical
Ticket_22,SUBMITTED_VIA,social media
Ticket_22,HAS_STATUS,pending customer response
Ticket_22,IS_TYPE,cancellation request
fitbit versa smartwatch,RAISED,Ticket_22
xbox,HAS_ISSUE,delivery problem
Ticket_23,HAS_PRIORITY,medium
Ticket_23,SUBMITTED_VIA,social media
Ticket_23,HAS_STATUS,open
Ticket_23,IS_TYPE,cancellation request
xbox,RAISED,Ticket_23
nintendo switch pro controller,HAS_ISSUE,refund request
Ticket_24,HAS_PRIORITY,low
Ticket_24,SUBMITTED_VIA,social media
Ticket_24,HAS_STATUS,pending customer response
Ticket_24,IS_TYPE,technical issue
nintendo switch pro controller,RAISED,Ticket_24
amazon kindle,HAS_ISSUE,display issue
Ticket_25,HAS_PRIORITY,critical
Ticket_25,SUBMITTED_VIA,email
Ticket_25,HAS_STATUS,open
Ticket_25,IS_TYPE,product inquiry
amazon kindle,RAISED,Ticket_25
hp pavilion,HAS_ISSUE,refund request
Ticket_26,HAS_PRIORITY,medium
Ticket_26,SUBMITTED_VIA,social media
Ticket_26,HAS_STATUS,pending customer response
Ticket_26,IS_TYPE,product inquiry
hp pavilion,RAISED,Ticket_26
lenovo thinkpad,HAS_ISSUE,cancellation request
Ticket_27,HAS_PRIORITY,low
Ticket_27,SUBMITTED_VIA,social media
Ticket_27,HAS_STATUS,pending customer response
Ticket_27,IS_TYPE,billing inquiry
lenovo thinkpad,RAISED,Ticket_27
fitbit charge,HAS_ISSUE,product setup
Ticket_28,HAS_PRIORITY,high
Ticket_28,SUBMITTED_VIA,phone
Ticket_28,HAS_STATUS,open
Ticket_28,IS_TYPE,cancellation request
fitbit charge,RAISED,Ticket_28
fitbit charge,HAS_ISSUE,product recommendation
Ticket_29,HAS_PRIORITY,critical
Ticket_29,SUBMITTED_VIA,phone
Ticket_29,HAS_STATUS,closed
Ticket_29,IS_TYPE,technical issue
fitbit charge,RAISED,Ticket_29
xbox,HAS_ISSUE,cancellation request
Ticket_30,HAS_PRIORITY,medium
Ticket_30,SUBMITTED_VIA,phone
Ticket_30,HAS_STATUS,closed
Ticket_30,IS_TYPE,cancellation request
xbox,RAISED,Ticket_30
adobe photoshop,HAS_ISSUE,product setup
Ticket_31,HAS_PRIORITY,low
Ticket_31,SUBMITTED_VIA,email
Ticket_31,HAS_STATUS,open
Ticket_31,IS_TYPE,billing inquiry
adobe photoshop,RAISED,Ticket_31
gopro action camera,HAS_ISSUE,product compatibility
Ticket_32,HAS_PRIORITY,medium
Ticket_32,SUBMITTED_VIA,social media
Ticket_32,HAS_STATUS,closed
Ticket_32,IS_TYPE,technical issue
gopro action camera,RAISED,Ticket_32
Ticket_33,HAS_PRIORITY,medium
Ticket_33,SUBMITTED_VIA,chat
Ticket_33,HAS_STATUS,pending customer response
Ticket_33,IS_TYPE,billing inquiry
fitbit charge,RAISED,Ticket_33
autodesk autocad,HAS_ISSUE,hardware issue
Ticket_34,HAS_PRIORITY,critical
Ticket_34,SUBMITTED_VIA,social media
Ticket_34,HAS_STATUS,closed
Ticket_34,IS_TYPE,refund request
autodesk autocad,RAISED,Ticket_34
microsoft xbox controller,HAS_ISSUE,installation support
Ticket_35,HAS_PRIORITY,low
Ticket_35,SUBMITTED_VIA,chat
Ticket_35,HAS_STATUS,pending customer response
Ticket_35,IS_TYPE,refund request
microsoft xbox controller,RAISED,Ticket_35
gopro hero,HAS_ISSUE,product recommendation
Ticket_36,HAS_PRIORITY,high
Ticket_36,SUBMITTED_VIA,chat
Ticket_36,HAS_STATUS,closed
Ticket_36,IS_TYPE,cancellation request
gopro hero,RAISED,Ticket_36
canon eos,HAS_ISSUE,hardware issue
Ticket_37,HAS_PRIORITY,medium
Ticket_37,SUBMITTED_VIA,email
Ticket_37,HAS_STATUS,pending customer response
Ticket_37,IS_TYPE,refund request
canon eos,RAISED,Ticket_37
amazon kindle,HAS_ISSUE,product compatibility
Ticket_38,HAS_PRIORITY,medium
Ticket_38,SUBMITTED_VIA,chat
Ticket_38,HAS_STATUS,open
Ticket_38,IS_TYPE,product inquiry
amazon kindle,RAISED,Ticket_38
google pixel,HAS_ISSUE,account access
Ticket_39,HAS_PRIORITY,critical
Ticket_39,SUBMITTED_VIA,phone
Ticket_39,HAS_STATUS,closed
Ticket_39,IS_TYPE,technical issue
google pixel,RAISED,Ticket_39
amazon echo,HAS_ISSUE,account access
Ticket_40,HAS_PRIORITY,medium
Ticket_40,SUBMITTED_VIA,social media
Ticket_40,HAS_STATUS,pending customer response
Ticket_40,IS_TYPE,product inquiry
amazon echo,RAISED,Ticket_40
playstation,HAS_ISSUE,installation support
Ticket_41,HAS_PRIORITY,low
Ticket_41,SUBMITTED_VIA,phone
Ticket_41,HAS_STATUS,pending customer response
Ticket_41,IS_TYPE,product inquiry
playstation,RAISED,Ticket_41
dell xps,HAS_ISSUE,product compatibility
Ticket_42,HAS_PRIORITY,critical
Ticket_42,SUBMITTED_VIA,chat
Ticket_42,HAS_STATUS,closed
Ticket_42,IS_TYPE,billing inquiry
dell xps,RAISED,Ticket_42
samsung galaxy,HAS_ISSUE,product compatibility
Ticket_43,HAS_PRIORITY,medium
Ticket_43,SUBMITTED_VIA,phone
Ticket_43,HAS_STATUS,pending customer response
Ticket_43,IS_TYPE,product inquiry
samsung galaxy,RAISED,Ticket_43
iphone,HAS_ISSUE,hardware issue
Ticket_44,HAS_PRIORITY,low
Ticket_44,SUBMITTED_VIA,email
Ticket_44,HAS_STATUS,open
Ticket_44,IS_TYPE,technical issue
iphone,RAISED,Ticket_44
hp pavilion,HAS_ISSUE,product compatibility
Ticket_45,HAS_PRIORITY,critical
Ticket_45,SUBMITTED_VIA,email
Ticket_45,HAS_STATUS,closed
Ticket_45,IS_TYPE,refund request
hp pavilion,RAISED,Ticket_45
lg smart tv,HAS_ISSUE,cancellation request
Ticket_46,HAS_PRIORITY,low
Ticket_46,SUBMITTED_VIA,chat
Ticket_46,HAS_STATUS,open
Ticket_46,IS_TYPE,product inquiry
lg smart tv,RAISED,Ticket_46
nintendo switch pro controller,HAS_ISSUE,network problem
Ticket_47,HAS_PRIORITY,high
Ticket_47,SUBMITTED_VIA,phone
Ticket_47,HAS_STATUS,closed
Ticket_47,IS_TYPE,refund request
nintendo switch pro controller,RAISED,Ticket_47
gopro hero,HAS_ISSUE,software bug
Ticket_48,HAS_PRIORITY,medium
Ticket_48,SUBMITTED_VIA,social media
Ticket_48,HAS_STATUS,closed
Ticket_48,IS_TYPE,technical issue
gopro hero,RAISED,Ticket_48
lg oled,HAS_ISSUE,network problem
Ticket_49,HAS_PRIORITY,high
Ticket_49,SUBMITTED_VIA,chat
Ticket_49,HAS_STATUS,open
Ticket_49,IS_TYPE,cancellation request
lg oled,RAISED,Ticket_49
microsoft office,HAS_ISSUE,display issue
Ticket_50,HAS_PRIORITY,medium
Ticket_50,SUBMITTED_VIA,chat
Ticket_50,HAS_STATUS,open
Ticket_50,IS_TYPE,technical issue
microsoft office,RAISED,Ticket_50
sony xperia,HAS_ISSUE,software bug
Ticket_51,HAS_PRIORITY,medium
Ticket_51,SUBMITTED_VIA,chat
Ticket_51,HAS_STATUS,open
Ticket_51,IS_TYPE,refund request
sony xperia,RAISED,Ticket_51
lg smart tv,HAS_ISSUE,software bug
Ticket_52,HAS_PRIORITY,medium
Ticket_52,SUBMITTED_VIA,chat
Ticket_52,HAS_STATUS,closed
Ticket_52,IS_TYPE,refund request
lg smart tv,RAISED,Ticket_52
nest thermostat,HAS_ISSUE,network problem
Ticket_53,HAS_PRIORITY,high
Ticket_53,SUBMITTED_VIA,social media
Ticket_53,HAS_STATUS,closed
Ticket_53,IS_TYPE,refund request
nest thermostat,RAISED,Ticket_53
hp pavilion,HAS_ISSUE,delivery problem
Ticket_54,HAS_PRIORITY,low
Ticket_54,SUBMITTED_VIA,chat
Ticket_54,HAS_STATUS,closed
Ticket_54,IS_TYPE,cancellation request
hp pavilion,RAISED,Ticket_54
microsoft xbox controller,HAS_ISSUE,network problem
Ticket_55,HAS_PRIORITY,low
Ticket_55,SUBMITTED_VIA,chat
Ticket_55,HAS_STATUS,pending customer response
Ticket_55,IS_TYPE,technical issue
microsoft xbox controller,RAISED,Ticket_55
nintendo switch pro controller,HAS_ISSUE,software bug
Ticket_56,HAS_PRIORITY,critical
Ticket_56,SUBMITTED_VIA,chat
Ticket_56,HAS_STATUS,pending customer response
Ticket_56,IS_TYPE,cancellation request
nintendo switch pro controller,RAISED,Ticket_56
autodesk autocad,HAS_ISSUE,software bug
Ticket_57,HAS_PRIORITY,medium
Ticket_57,SUBMITTED_VIA,social media
Ticket_57,HAS_STATUS,pending customer response
Ticket_57,IS_TYPE,technical issue
autodesk autocad,RAISED,Ticket_57
gopro action camera,HAS_ISSUE,peripheral compatibility
Ticket_58,HAS_PRIORITY,critical
Ticket_58,SUBMITTED_VIA,email
Ticket_58,HAS_STATUS,open
Ticket_58,IS_TYPE,refund request
gopro action camera,RAISED,Ticket_58
autodesk autocad,HAS_ISSUE,product recommendation
Ticket_59,HAS_PRIORITY,medium
Ticket_59,SUBMITTED_VIA,phone
Ticket_59,HAS_STATUS,closed
Ticket_59,IS_TYPE,technical issue
autodesk autocad,RAISED,Ticket_59
apple airpods,HAS_ISSUE,cancellation request
Ticket_60,HAS_PRIORITY,medium
Ticket_60,SUBMITTED_VIA,chat
Ticket_60,HAS_STATUS,closed
Ticket_60,IS_TYPE,product inquiry
apple airpods,RAISED,Ticket_60
sony 4k hdr tv,HAS_ISSUE,product setup
Ticket_61,HAS_PRIORITY,medium
Ticket_61,SUBMITTED_VIA,chat
Ticket_61,HAS_STATUS,closed
Ticket_61,IS_TYPE,cancellation request
sony 4k hdr tv,RAISED,Ticket_61
lenovo thinkpad,HAS_ISSUE,battery life
Ticket_62,HAS_PRIORITY,critical
Ticket_62,SUBMITTED_VIA,social media
Ticket_62,HAS_STATUS,pending customer response
Ticket_62,IS_TYPE,product inquiry
lenovo thinkpad,RAISED,Ticket_62
xbox,HAS_ISSUE,payment issue
Ticket_63,HAS_PRIORITY,high
Ticket_63,SUBMITTED_VIA,email
Ticket_63,HAS_STATUS,closed
Ticket_63,IS_TYPE,billing inquiry
xbox,RAISED,Ticket_63
adobe photoshop,HAS_ISSUE,hardware issue
Ticket_64,HAS_PRIORITY,high
Ticket_64,SUBMITTED_VIA,phone
Ticket_64,HAS_STATUS,pending customer response
Ticket_64,IS_TYPE,billing inquiry
adobe photoshop,RAISED,Ticket_64
microsoft xbox controller,HAS_ISSUE,product compatibility
Ticket_65,HAS_PRIORITY,medium
Ticket_65,SUBMITTED_VIA,phone
Ticket_65,HAS_STATUS,open
Ticket_65,IS_TYPE,technical issue
microsoft xbox controller,RAISED,Ticket_65
apple airpods,HAS_ISSUE,battery life
Ticket_66,HAS_PRIORITY,medium
Ticket_66,SUBMITTED_VIA,phone
Ticket_66,HAS_STATUS,pending customer response
Ticket_66,IS_TYPE,technical issue
apple airpods,RAISED,Ticket_66
gopro hero,HAS_ISSUE,product compatibility
Ticket_67,HAS_PRIORITY,high
Ticket_67,SUBMITTED_VIA,email
Ticket_67,HAS_STATUS,closed
Ticket_67,IS_TYPE,billing inquiry
gopro hero,RAISED,Ticket_67
microsoft office,HAS_ISSUE,peripheral compatibility
Ticket_68,HAS_PRIORITY,low
Ticket_68,SUBMITTED_VIA,phone
Ticket_68,HAS_STATUS,pending customer response
Ticket_68,IS_TYPE,cancellation request
microsoft office,RAISED,Ticket_68
adobe photoshop,HAS_ISSUE,product compatibility
Ticket_69,HAS_PRIORITY,critical
Ticket_69,SUBMITTED_VIA,chat
Ticket_69,HAS_STATUS,pending customer response
Ticket_69,IS_TYPE,technical issue
adobe photoshop,RAISED,Ticket_69
canon dslr camera,HAS_ISSUE,refund request
Ticket_70,HAS_PRIORITY,high
Ticket_70,SUBMITTED_VIA,chat
Ticket_70,HAS_STATUS,closed
Ticket_70,IS_TYPE,refund request
canon dslr camera,RAISED,Ticket_70
google pixel,HAS_ISSUE,product setup
Ticket_71,HAS_PRIORITY,medium
Ticket_71,SUBMITTED_VIA,chat
Ticket_71,HAS_STATUS,pending customer response
Ticket_71,IS_TYPE,cancellation request
google pixel,RAISED,Ticket_71
iphone,HAS_ISSUE,delivery problem
Ticket_72,HAS_PRIORITY,medium
Ticket_72,SUBMITTED_VIA,social media
Ticket_72,HAS_STATUS,open
Ticket_72,IS_TYPE,refund request
iphone,RAISED,Ticket_72
dyson vacuum cleaner,HAS_ISSUE,display issue
Ticket_73,HAS_PRIORITY,low
Ticket_73,SUBMITTED_VIA,chat
Ticket_73,HAS_STATUS,closed
Ticket_73,IS_TYPE,billing inquiry
dyson vacuum cleaner,RAISED,Ticket_73
fitbit charge,HAS_ISSUE,payment issue
Ticket_74,HAS_PRIORITY,critical
Ticket_74,SUBMITTED_VIA,social media
Ticket_74,HAS_STATUS,closed
Ticket_74,IS_TYPE,cancellation request
fitbit charge,RAISED,Ticket_74
xbox,HAS_ISSUE,product setup
Ticket_75,HAS_PRIORITY,critical
Ticket_75,SUBMITTED_VIA,email
Ticket_75,HAS_STATUS,open
Ticket_75,IS_TYPE,billing inquiry
xbox,RAISED,Ticket_75
roomba robot vacuum,HAS_ISSUE,display issue
Ticket_76,HAS_PRIORITY,critical
Ticket_76,SUBMITTED_VIA,chat
Ticket_76,HAS_STATUS,closed
Ticket_76,IS_TYPE,product inquiry
roomba robot vacuum,RAISED,Ticket_76
iphone,HAS_ISSUE,account access
Ticket_77,HAS_PRIORITY,critical
Ticket_77,SUBMITTED_VIA,phone
Ticket_77,HAS_STATUS,open
Ticket_77,IS_TYPE,cancellation request
iphone,RAISED,Ticket_77
fitbit charge,HAS_ISSUE,delivery problem
Ticket_78,HAS_PRIORITY,low
Ticket_78,SUBMITTED_VIA,email
Ticket_78,HAS_STATUS,closed
Ticket_78,IS_TYPE,billing inquiry
fitbit charge,RAISED,Ticket_78
google pixel,HAS_ISSUE,data loss
Ticket_79,HAS_PRIORITY,medium
Ticket_79,SUBMITTED_VIA,social media
Ticket_79,HAS_STATUS,pending customer response
Ticket_79,IS_TYPE,billing inquiry
google pixel,RAISED,Ticket_79
Ticket_80,HAS_PRIORITY,critical
Ticket_80,SUBMITTED_VIA,chat
Ticket_80,HAS_STATUS,pending customer response
Ticket_80,IS_TYPE,technical issue
lg smart tv,RAISED,Ticket_80
microsoft office,HAS_ISSUE,product recommendation
Ticket_81,HAS_PRIORITY,critical
Ticket_81,SUBMITTED_VIA,phone
Ticket_81,HAS_STATUS,pending customer response
Ticket_81,IS_TYPE,technical issue
microsoft office,RAISED,Ticket_81
Ticket_82,HAS_PRIORITY,medium
Ticket_82,SUBMITTED_VIA,email
Ticket_82,HAS_STATUS,pending customer response
Ticket_82,IS_TYPE,cancellation request
apple airpods,RAISED,Ticket_82
playstation,HAS_ISSUE,software bug
Ticket_83,HAS_PRIORITY,low
Ticket_83,SUBMITTED_VIA,social media
Ticket_83,HAS_STATUS,closed
Ticket_83,IS_TYPE,refund request
playstation,RAISED,Ticket_83
autodesk autocad,HAS_ISSUE,installation support
Ticket_84,HAS_PRIORITY,critical
Ticket_84,SUBMITTED_VIA,phone
Ticket_84,HAS_STATUS,pending customer response
Ticket_84,IS_TYPE,technical issue
autodesk autocad,RAISED,Ticket_84
microsoft surface,HAS_ISSUE,hardware issue
Ticket_85,HAS_PRIORITY,medium
Ticket_85,SUBMITTED_VIA,phone
Ticket_85,HAS_STATUS,open
Ticket_85,IS_TYPE,technical issue
microsoft surface,RAISED,Ticket_85
canon eos,HAS_ISSUE,peripheral compatibility
Ticket_86,HAS_PRIORITY,high
Ticket_86,SUBMITTED_VIA,social media
Ticket_86,HAS_STATUS,open
Ticket_86,IS_TYPE,product inquiry
canon eos,RAISED,Ticket_86
sony playstation,HAS_ISSUE,product recommendation
Ticket_87,HAS_PRIORITY,critical
Ticket_87,SUBMITTED_VIA,phone
Ticket_87,HAS_STATUS,closed
Ticket_87,IS_TYPE,technical issue
sony playstation,RAISED,Ticket_87
philips hue lights,HAS_ISSUE,delivery problem
Ticket_88,HAS_PRIORITY,high
Ticket_88,SUBMITTED_VIA,social media
Ticket_88,HAS_STATUS,pending customer response
Ticket_88,IS_TYPE,technical issue
philips hue lights,RAISED,Ticket_88
nikon d,HAS_ISSUE,product setup
Ticket_89,HAS_PRIORITY,critical
Ticket_89,SUBMITTED_VIA,email
Ticket_89,HAS_STATUS,open
Ticket_89,IS_TYPE,billing inquiry
nikon d,RAISED,Ticket_89
sony xperia,HAS_ISSUE,product recommendation
Ticket_90,HAS_PRIORITY,medium
Ticket_90,SUBMITTED_VIA,email
Ticket_90,HAS_STATUS,closed
Ticket_90,IS_TYPE,product inquiry
sony xperia,RAISED,Ticket_90
Ticket_91,HAS_PRIORITY,high
Ticket_91,SUBMITTED_VIA,phone
Ticket_91,HAS_STATUS,pending customer response
Ticket_91,IS_TYPE,refund request
sony xperia,RAISED,Ticket_91
iphone,HAS_ISSUE,display issue
Ticket_92,HAS_PRIORITY,low
Ticket_92,SUBMITTED_VIA,email
Ticket_92,HAS_STATUS,pending customer response
Ticket_92,IS_TYPE,product inquiry
iphone,RAISED,Ticket_92
bose quietcomfort,HAS_ISSUE,peripheral compatibility
Ticket_93,HAS_PRIORITY,low
Ticket_93,SUBMITTED_VIA,email
Ticket_93,HAS_STATUS,pending customer response
Ticket_93,IS_TYPE,technical issue
bose quietcomfort,RAISED,Ticket_93
Ticket_94,HAS_PRIORITY,low
Ticket_94,SUBMITTED_VIA,email
Ticket_94,HAS_STATUS,open
Ticket_94,IS_TYPE,refund request
playstation,RAISED,Ticket_94
microsoft xbox controller,HAS_ISSUE,account access
Ticket_95,HAS_PRIORITY,critical
Ticket_95,SUBMITTED_VIA,phone
Ticket_95,HAS_STATUS,open
Ticket_95,IS_TYPE,product inquiry
microsoft xbox controller,RAISED,Ticket_95
autodesk autocad,HAS_ISSUE,battery life
Ticket_96,HAS_PRIORITY,high
Ticket_96,SUBMITTED_VIA,chat
Ticket_96,HAS_STATUS,closed
Ticket_96,IS_TYPE,product inquiry
autodesk autocad,RAISED,Ticket_96
roomba robot vacuum,HAS_ISSUE,battery life
Ticket_97,HAS_PRIORITY,high
Ticket_97,SUBMITTED_VIA,social media
Ticket_97,HAS_STATUS,open
Ticket_97,IS_TYPE,cancellation request
roomba robot vacuum,RAISED,Ticket_97
Ticket_98,HAS_PRIORITY,high
Ticket_98,SUBMITTED_VIA,email
Ticket_98,HAS_STATUS,pending customer response
Ticket_98,IS_TYPE,product inquiry
xbox,RAISED,Ticket_98
samsung galaxy,HAS_ISSUE,refund request
Ticket_99,HAS_PRIORITY,high
Ticket_99,SUBMITTED_VIA,chat
Ticket_99,HAS_STATUS,closed
Ticket_99,IS_TYPE,billing inquiry
samsung galaxy,RAISED,Ticket_99
samsung soundbar,HAS_ISSUE,hardware issue
Ticket_100,HAS_PRIORITY,low
Ticket_100,SUBMITTED_VIA,chat
Ticket_100,HAS_STATUS,pending customer response
Ticket_100,IS_TYPE,technical issue
samsung soundbar,RAISED,Ticket_100
dyson vacuum cleaner,HAS_ISSUE,delivery problem
Ticket_101,HAS_PRIORITY,high
Ticket_101,SUBMITTED_VIA,email
Ticket_101,HAS_STATUS,pending customer response
Ticket_101,IS_TYPE,cancellation request
dyson vacuum cleaner,RAISED,Ticket_101
iphone,HAS_ISSUE,software bug
Ticket_102,HAS_PRIORITY,critical
Ticket_102,SUBMITTED_VIA,phone
Ticket_102,HAS_STATUS,pending customer response
Ticket_102,IS_TYPE,billing inquiry
iphone,RAISED,Ticket_102
asus rog,HAS_ISSUE,battery life
Ticket_103,HAS_PRIORITY,critical
Ticket_103,SUBMITTED_VIA,email
Ticket_103,HAS_STATUS,closed
Ticket_103,IS_TYPE,refund request
asus rog,RAISED,Ticket_103
dyson vacuum cleaner,HAS_ISSUE,battery life
Ticket_104,HAS_PRIORITY,high
Ticket_104,SUBMITTED_VIA,chat
Ticket_104,HAS_STATUS,open
Ticket_104,IS_TYPE,refund request
dyson vacuum cleaner,RAISED,Ticket_104
Ticket_105,HAS_PRIORITY,high
Ticket_105,SUBMITTED_VIA,phone
Ticket_105,HAS_STATUS,open
Ticket_105,IS_TYPE,refund request
fitbit charge,RAISED,Ticket_105
Ticket_106,HAS_PRIORITY,critical
Ticket_106,SUBMITTED_VIA,chat
Ticket_106,HAS_STATUS,pending customer response
Ticket_106,IS_TYPE,product inquiry
dyson vacuum cleaner,RAISED,Ticket_106
nintendo switch,HAS_ISSUE,installation support
Ticket_107,HAS_PRIORITY,low
Ticket_107,SUBMITTED_VIA,email
Ticket_107,HAS_STATUS,closed
Ticket_107,IS_TYPE,cancellation request
nintendo switch,RAISED,Ticket_107
lg smart tv,HAS_ISSUE,account access
Ticket_108,HAS_PRIORITY,high
Ticket_108,SUBMITTED_VIA,email
Ticket_108,HAS_STATUS,pending customer response
Ticket_108,IS_TYPE,technical issue
lg smart tv,RAISED,Ticket_108
dyson vacuum cleaner,HAS_ISSUE,product setup
Ticket_109,HAS_PRIORITY,critical
Ticket_109,SUBMITTED_VIA,chat
Ticket_109,HAS_STATUS,closed
Ticket_109,IS_TYPE,technical issue
dyson vacuum cleaner,RAISED,Ticket_109
bose soundlink speaker,HAS_ISSUE,account access
Ticket_110,HAS_PRIORITY,high
Ticket_110,SUBMITTED_VIA,email
Ticket_110,HAS_STATUS,open
Ticket_110,IS_TYPE,product inquiry
bose soundlink speaker,RAISED,Ticket_110
amazon echo,HAS_ISSUE,peripheral compatibility
Ticket_111,HAS_PRIORITY,high
Ticket_111,SUBMITTED_VIA,email
Ticket_111,HAS_STATUS,closed
Ticket_111,IS_TYPE,cancellation request
amazon echo,RAISED,Ticket_111
nintendo switch pro controller,HAS_ISSUE,display issue
Ticket_112,HAS_PRIORITY,high
Ticket_112,SUBMITTED_VIA,phone
Ticket_112,HAS_STATUS,open
Ticket_112,IS_TYPE,refund request
nintendo switch pro controller,RAISED,Ticket_112
samsung galaxy,HAS_ISSUE,display issue
Ticket_113,HAS_PRIORITY,medium
Ticket_113,SUBMITTED_VIA,social media
Ticket_113,HAS_STATUS,open
Ticket_113,IS_TYPE,product inquiry
samsung galaxy,RAISED,Ticket_113
Ticket_114,HAS_PRIORITY,high
Ticket_114,SUBMITTED_VIA,email
Ticket_114,HAS_STATUS,closed
Ticket_114,IS_TYPE,cancellation request
microsoft office,RAISED,Ticket_114
sony 4k hdr tv,HAS_ISSUE,battery life
Ticket_115,HAS_PRIORITY,high
